setlist_filename,mapped_header,mapped_selection,notes
arabian.csv,Culture,Arab & Indian,
arabian_daze.csv,Culture,Arab & Indian,
oasis.csv,Culture,Arab & Indian,
set_36_-_arabian_daze.csv,Culture,Arab & Indian,
set_76_-_la_touche_française.csv,Language,French,
burn.csv,Emotionality,Rage,
catharsis.csv,Emotionality,Sentimental,
for_the_love_of_happiness!.csv,Emotionality,Bliss,
melt_my_heart.csv,Emotionality,Sentimental,
set_172_-_cloud9.csv,Emotionality,Bliss,
set_175_-_cry.csv,Emotionality,Melancholia,
set_28_-_teardrop.csv,Emotionality,Melancholia,
set_50_-_mirth.csv,Emotionality,Bliss,
set_55_-_instant_smile.csv,Emotionality,Bliss,
sunshine.csv,Emotionality,Bliss,
set_161_-_rain.csv,Motif,Rain,
it’s_a_fast’un.csv,Notes,High BPM,
set_162_-_unique_instrument.csv,Notes,Unique instrument,
set_29_-_culture_trip.csv,Notes,Cultural,
set_38_-_serenity.csv,Notes,Peaceful,
set_80_-_classic.csv,Notes,Classic,
intros.csv,Placement,Intros,
outros_&_dips.csv,Placement,Outros & Dips,
outros_dips.csv,Placement,Outros & Dips,
all_the_vocals.csv,Prominent Instruments,Vocals,
set_144_-_moar_cowbell.csv,Prominent Instruments,Bells & Chimes,
set_149_-_strings_attached.csv,Prominent Instruments,Strings,
set_19_-_strung_up.csv,Prominent Instruments,Strings,
set_24_-_brass_up_the_ass.csv,Prominent Instruments,Brass,
set_63_-_guitar.csv,Prominent Instruments,Guitar,
set_66_-_didgeridoo.csv,Prominent Instruments,Didgeridoo,
set_67_-_piano.csv,Prominent Instruments,Piano,
set_8_-_a_chime_in_time.csv,Prominent Instruments,Bells & Chimes,
global_scale.csv,Set,Global Scale,
spire_abyss.csv,Set,Spire / Abyss,
summons_viii.csv,Set,Summons VIII,
summons_xi.csv,Set,Summons XI,
summons_xii.csv,Set,Summons XII,
summons_xiii_-_inundate.csv,Set,Summons XIII - Inundate,
summons_xiv_-_interstellar_love_story.csv,Set,Summons XIV - Interstellar Love Story,
summons_xv_-_halloween_2023.csv,Set,Summons XV - Halloween 2023,
summons_xvi_-_what_wilds_whistle.csv,Set,Summons XVI - What Whistles Wild Wild,
summons_xvii_-_the_homosexual_urge.csv,Set,Summons XVII - The Homosexual Urge,
bangers.csv,Sound,Bangers,
dark.csv,Sound,Dark,
knee-deep_in_acid.csv,Sound,Acid-tinged,
rave.csv,Sound,Rave,
set_11_-_whorl_of_darkness.csv,Sound,Dark; Hypnotic,
set_12_-_whorl_of_light.csv,Sound,Light; Hypnotic,
set_173_-_trip.csv,Sound,Trippy,
set_37_-_pitch_black.csv,Sound,Dark,
set_49_-_bounce.csv,Sound,Bouncy,
set_58_-_loop-de-loop.csv,Sound,Hypnotic,
set_69_-_clerb.csv,Sound,Club,
set_71_-_bouncier.csv,Sound,Bouncy,
set_200_-_epic_rave.csv,Sound | Vibe,Rave | Epic,
set_34_-_dark_raving_mad.csv,Sound | Vibe,Dark; Rave | Madness ,
air.csv,Vibe,Air,
arcade.csv,Vibe,Arcade,
beautiful_.csv,Sound,Beautiful,
earth_element.csv,Vibe,Earth,
forest.csv,Vibe,Forests,
fun.csv,Vibe,Fun,
gay_set_tracks.csv,Vibe,Gay,
haunting.csv,Vibe,"Moody, Broody, or Haunting",
ice.csv,Vibe,Ice,"chances are sound has a ""tinkle"""
jungle.csv,Vibe,Jungle & Tribal,
madness.csv,Vibe,Madness,
otherworld.csv,Vibe,Otherworldly,
robot.csv,Sound,Robotic,
set_116_-_rainforest.csv,Vibe,Jungle & Tribal,
set_136_-_meltagain.csv,Vibe,Sentimental,
set_139_-_biome.csv,Vibe,Forests,
set_14_-_ph-14.csv,Vibe,Acid-tinged,
set_150_-_acid_spit.csv,Vibe,Acid-tinged,
set_174_-_ominous.csv,Vibe,"Moody, Broody, or Haunting",
set_176_-_rumble.csv,Vibe,Stormy,
set_178_-_tribe.csv,Vibe,Jungle & Tribal,
set_21_-_the_jungle_shook.csv,Vibe,Jungle & Tribal,
set_40_-_deep_space.csv,Vibe,Cosmic,
set_41_-_melt.csv,Vibe,Sentimental,
set_64_-_haunt.csv,Vibe,"Moody, Broody, or Haunting",
set_72_-_tempest.csv,Vibe,Stormy,
set_78_-_ex_machina.csv,Sound,Robotic,
set_81_-_dreamscape.csv,Vibe,Otherworldly; Ethereal,"possibly whimsy, but unsure"
set_82_-_water.csv,Vibe,Water,
set_83_-_earth.csv,Vibe,Earth,
set_84_-_air.csv,Vibe,Air,
set_85_-_fire.csv,Vibe,Fire,
space.csv,Vibe,Cosmic,
space_cadets.csv,Vibe,Cosmic,
that's_so_gay.csv,Vibe,Gay,
the_jungle_shook.csv,Vibe,Jungle & Tribal,
thunderstorm.csv,Vibe,Stormy,
transcend.csv,Vibe,Transcendent,Liminality likelihood high
water.csv,Vibe,Water,
faerie.csv,Vibe | Motif,Enchantment | Fae,
set_26_-_indigenous.csv,Vibe | Motif,Jungle & Tribal | Indigenous,
set_52_-_whimsy.csv,Vibe | Motif,Whimsy | Fae,
witch.csv,Vibe | Motif,"Moody, Broody, or Haunting | Witch",
beatport.csv,Want,True,
